"","x"
"1235","#379DAB"
"1236","#379DAB"
"1237","#379DAB"
"1238","#379DAB"
"1239","#379DAC"
"1240","#379DAC"
"1241","#379DAC"
"1242","#379DAC"
"1243","#379DAC"
"1244","#379DAC"
"1245","#379DAC"
"1246","#379DAC"
"1247","#379DAC"
"1248","#379DAC"
"1249","#379DAC"
"1250","#379DAC"
"1251","#389CAD"
"1252","#389CAD"
"1253","#389CAD"
"1254","#389CAD"
"1255","#389CAD"
"1256","#389CAD"
"1257","#389CAD"
"1258","#389CAD"
"1259","#389CAD"
"1260","#389CAD"
"1261","#389CAD"
"1262","#389CAD"
"1263","#389CAD"
"1264","#389CAD"
"1265","#389CAD"
"1266","#389CAD"
"1267","#389CAD"
"1268","#389CAD"
"1269","#389CAD"
"1270","#389CAD"
"1271","#389BAD"
"1272","#389BAD"
"1273","#389BAD"
"1274","#389BAD"
"1275","#389BAD"
"1276","#389BAD"
"1277","#389BAD"
"1278","#389BAD"
"1279","#389BAD"
"1280","#389BAD"
"1281","#389BAD"
"1282","#389BAD"
"1283","#389BAD"
"1284","#389BAD"
"1285","#389BAD"
"1286","#389BAD"
"1287","#389BAD"
"1288","#389BAD"
"1289","#389BAD"
"1290","#389AAD"
"1291","#389AAD"
"1292","#389AAD"
"1293","#389AAD"
"1294","#389AAD"
"1295","#389AAD"
"1296","#389AAD"
"1297","#389AAD"
"1298","#389AAD"
"1299","#389AAD"
"1300","#389AAD"
"1301","#389AAD"
"1302","#389AAD"
"1303","#389AAD"
"1304","#389AAD"
"1305","#389AAD"
"1306","#389AAD"
"1307","#389AAD"
"1308","#389AAD"
"1309","#389AAD"
"1310","#3899AD"
"1311","#3899AD"
"1312","#3899AD"
"1313","#3899AD"
"1314","#3899AD"
"1315","#3899AD"
"1316","#3899AD"
"1317","#3899AD"
"1318","#3899AD"
"1319","#3899AD"
"1320","#3899AD"
"1321","#3899AD"
"1322","#3899AD"
"1323","#3899AD"
"1324","#3899AD"
"1325","#3899AD"
"1326","#3899AD"
"1327","#3899AD"
"1328","#3899AD"
"1329","#3898AD"
"1330","#3898AD"
"1331","#3898AD"
"1332","#3898AD"
"1333","#3898AD"
